"","lon","lat","date","status","analysed_sst","analysis_error","mask","sea_ice_fraction"
"162",56.291640708223,-40.6331128911216,2014-09-01,TRUE,287.609,0.38,1,NA
"163",-135.069071911275,0.332186270340219,2010-08-10,TRUE,296.848,0.39,1,NA
"164",-81.2513981200755,20.2690105213662,2015-03-17,TRUE,300.158,0.37,1,NA
"165",59.3557589873672,2.92206975247055,2014-11-01,TRUE,302.512,0.37,1,NA
"166",5.82845033146441,10.8527445920673,2008-07-14,TRUE,NA,NA,2,NA
"167",22.7122918143868,-48.8127763824272,2017-06-15,TRUE,277.07,0.38,1,NA
"168",-71.3361881207675,-0.921434585280305,2019-10-17,TRUE,NA,NA,2,NA
"169",166.638541342691,-15.4095360070862,2017-04-07,TRUE,303.049,0.41,2,NA
"170",-108.677533222362,-5.13092790061238,2011-08-14,TRUE,296.889,0.4,1,NA
"171",121.484081391245,47.4563307802582,2009-12-27,TRUE,NA,NA,2,NA
"172",-58.6478417180479,15.187618954541,2005-06-23,TRUE,301.648,0.37,1,NA
"173",-9.41821980290115,-44.2166403834525,2003-12-12,TRUE,282.372,0.39,1,NA
"174",-151.719704624265,51.839031065265,2013-02-17,TRUE,277.01,0.38,1,NA
"175",-65.5819103401154,23.9366097628419,2020-02-16,TRUE,298.879,0.38,1,NA
"176",-23.6922990716994,73.2785558588632,2008-06-07,TRUE,271.35,0.36,2,NA
"177",-79.9696133472025,65.7471924087679,2019-01-03,TRUE,271.35,0.36,9,0.99
"178",112.241417532787,77.56288376475,2005-05-13,TRUE,271.35,0.35,9,0.98
"179",69.4987326208502,-5.3532200550354,2006-03-21,TRUE,302.675,0.38,1,NA
"180",-119.062557695433,35.0410494278731,2014-08-22,TRUE,NA,NA,2,NA
"181",19.2339796945453,75.8748767944796,2016-07-15,TRUE,278.529,0.36,1,NA
"182",1.37569243088365,59.4639199154348,2017-02-06,TRUE,283.308,0.37,1,NA
"183",123.332752548158,-54.1637764096187,2015-08-05,TRUE,276.016,0.38,1,0
"184",125.398159101605,47.2026938238545,2008-09-11,TRUE,NA,NA,2,NA
"185",117.3711049743,-10.7862263222529,2012-02-12,TRUE,302.775,0.37,1,NA
"186",-84.1178898140788,64.0349891778716,2019-08-13,TRUE,NA,NA,2,NA
"187",-118.863573409617,73.4035382423251,2017-06-21,TRUE,NA,NA,2,NA
"188",-173.199577219784,-76.809815897086,2010-11-16,TRUE,271.725,0.36,9,0.4
"189",-175.020198170096,-27.313324228189,2018-07-26,TRUE,292.808,0.37,1,NA
"190",-170.878161694854,-27.2167480354322,2019-03-11,TRUE,297.767,0.37,1,NA
"191",-34.2022759281099,-22.9417850243141,2012-12-04,TRUE,298.001,0.37,1,NA
"192",145.485066007823,-22.6280161688834,2015-08-18,TRUE,NA,NA,2,NA
"193",-30.8312465529889,-16.3470963322277,2007-09-27,TRUE,297.215,0.38,1,NA
"194",15.9473548270762,-0.675367535689012,2005-04-19,TRUE,NA,NA,2,NA
"195",98.1157522648573,20.4337921505308,2019-04-24,TRUE,NA,NA,2,NA
"196",-32.0525081176311,9.07725122898919,2004-01-06,TRUE,299.972,0.39,1,NA
"197",-179.641008367762,57.3873341034874,2008-10-21,TRUE,280.188,0.36,1,0
"198",-10.6594302132726,-32.0048372945544,2003-02-19,TRUE,295.822,0.39,1,NA
"199",-22.2386466432363,-9.35206226503623,2010-10-06,TRUE,298.157,0.38,1,NA
"200",-138.536863317713,47.657621897774,2006-05-16,TRUE,281.66,0.36,1,NA
"201",2.47563751414418,-41.5316465208876,2015-08-16,TRUE,282.398,0.37,1,NA
"202",52.2473947238177,31.6269232107949,2003-02-10,TRUE,NA,NA,2,NA
"203",4.16301126591861,17.6254328075604,2011-04-07,TRUE,NA,NA,2,NA
"204",55.5255011469126,50.8526274703027,2006-02-16,TRUE,NA,NA,2,NA
"205",-156.185282478109,-22.8622567136797,2008-07-12,TRUE,297.159,0.37,1,NA
"206",93.0950589850545,43.3416196230613,2020-04-15,TRUE,NA,NA,2,NA
"207",-93.0483203195035,-15.4818860670179,2016-08-07,TRUE,294.602,0.39,1,NA
"208",57.3515122476965,-43.9359340116404,2008-11-13,TRUE,285.445,0.4,1,NA
"209",-9.03230113908648,-24.8340655925987,2011-08-01,TRUE,293.045,0.38,1,NA
"210",-145.032289763913,11.1884091340975,2004-05-01,TRUE,299.717,0.39,1,NA
"211",13.6579213757068,-53.5354088891308,2011-03-21,TRUE,274.642,0.38,1,0
"212",-39.4206210225821,29.5411899792994,2014-07-19,TRUE,299.534,0.37,1,NA
"213",-71.4425136521459,23.9820513712211,2006-07-04,TRUE,301.157,0.37,1,NA
"214",77.7138043195009,-54.5120948829352,2010-11-10,TRUE,273.393,0.38,1,0
"215",172.439785609022,27.9893618883925,2018-05-08,TRUE,295.336,0.37,1,NA
"216",-171.181639898568,28.4337431318007,2014-03-05,TRUE,291.087,0.39,1,NA
"217",89.4432686269283,-6.67967157464577,2006-04-01,TRUE,302.665,0.38,1,NA
"218",104.980087811127,-47.6115567616185,2012-06-10,TRUE,280.347,0.38,1,NA
